admin,adm0_a3,area_missing,area_total,area_covered,ratio_missing
Afghanistan,AFG,6.785620935110824,6.7856209351119965,0,0.9999999999998272
Albania,ALB,9.92414226391309,17.902708667070026,7.9785664032,0.5543374719696695
Algeria,DZA,25.057641616496415,46.81502625820018,21.7573846417,0.5352478385528469
Angola,AGO,203.65085007697613,347.9831443198786,144.3322942429,0.5852319383888691
Argentina,ARG,1931.9529933652389,2395.182569439757,463.2295760745,0.806599470961051
Armenia,ARM,14.703510905931433,59.66349945926236,44.9599885533,0.24644063856782056
Aruba,ABW,0.35691010847735316,0.3569101084773455,-0,1.0000000000000215
Australia,AUS,3635.0859714373473,9227.749783975802,5592.6638125385,0.3939298373423342
Austria,AUT,7.89922944181159,16.295965533304408,8.3967360915,0.48473528160499413
Azerbaijan,AZE,27.111033073468946,33.13619346353984,6.0251603901,0.8181698088918857
Belarus,BLR,39.838359086448115,39.838359086458105,0,0.9999999999997492
Belgium,BEL,8.308447749543008,8.30844774945865,-1e-10,1.0000000000101532
Benin,BEN,0.11469252446821349,0.1146925244682215,0,0.9999999999999302
Bhutan,BTN,0.4140938789764194,0.4140938789766415,0,0.9999999999994637
Bolivia,BOL,171.84404501838603,303.44380140124736,131.5997563829,0.5663125897607465
Bosnia and Herzegovina,BIH,46.78177409197235,61.361537183984396,14.579763092,0.7623957325531698
Botswana,BWA,89.48814213682705,302.5453785389378,213.0572364021,0.2957841979572987
Brazil,BRA,4723.3971967113,6195.151171566539,1471.7539748552,0.7624345340255703
Bulgaria,BGR,71.24568232284645,310.0119103050213,238.7662279822,0.22981595207986588
Burkina Faso,BFA,34.71530950455631,150.91678651121683,116.2014770067,0.23002947721773886
Burundi,BDI,0.07856779774412562,0.07856779774422255,0,0.9999999999987662
Cambodia,KHM,5.2136606036584014,5.213660603654293,-0,1.000000000000788
Cameroon,CMR,4.40760737439271,4.407607374395121,0,0.9999999999994531
Canada,CAN,3532.984743405899,5686.683861106738,2153.6991177008,0.621273281528668
Chad,TCD,0.19839013160184438,0.19839013160119595,-0,1.0000000000032685
Chile,CHL,2735.0764704341236,5080.5458490431565,2345.469378609,0.5383430347251434
China,CHN,8030.60302678487,14399.658155872228,6369.0551290874,0.5576940049448301
Colombia,COL,350.60513693748237,874.8000885855977,524.1949516481,0.40078315207346515
Costa Rica,CRI,0.3263447749949375,1.3734219963178298,1.0470772213,0.23761435004672563
Croatia,HRV,3.454752856093417,3.4547528560875174,-0,1.0000000000017077
Cuba,CUB,48.90431567925589,139.09802435292832,90.1937086737,0.3515816698817573
Cyprus,CYP,17.43961892315623,20.723825310792552,3.2842063876,0.8415250882313715
Czech Republic,CZE,57.63114100668355,231.88327644086675,174.2521354342,0.24853513324140147
Democratic Republic of the Congo,COD,107.46323026061583,448.7951252004664,341.3318949399,0.23944830107638645
Dominican Republic,DOM,4.773484951705894,32.10657257687883,27.3330876252,0.14867625437987309
Ecuador,ECU,42.268892844934115,67.94349490949233,25.6746020646,0.6221183190714665
Egypt,EGY,23.69376618282099,74.17020762591434,50.4764414431,0.3194512586822343
El Salvador,SLV,0.586574326740916,0.586574326740913,-0,1.000000000000005
Eritrea,ERI,0.08417173428798348,10.780867223337934,10.696695489,0.007807510522509017
Estonia,EST,64.66736419891257,64.66736419890385,-0,1.0000000000001348
Ethiopia,ETH,9.043127379367283,16.543878706228682,7.5007513269,0.5466147050487377
Fiji,FJI,2.4375762429833094,4.036977685563945,1.5994014426,0.6038121666364357
Finland,FIN,73.18229724609398,162.02518422365338,88.8428869776,0.45167235943441936
France,FRA,212.3552804408742,226.5325738386308,14.1772933978,0.9374160935996086
Gabon,GAB,6.263162470734267,54.22328720488382,47.9601247341,0.11550687524842929
Georgia,GEO,0.8067717241651569,29.782118012552612,28.9753462884,0.027089131935650698
Germany,DEU,165.97252985077205,705.2870957942081,539.3145659434,0.2353261967225901
Ghana,GHA,1398.947797848707,2003.6070364689836,604.6592386203,0.6982146560605589
Greece,GRC,113.28695036106141,272.71853975684314,159.4315893958,0.4153987860967152
Greenland,GRL,0.3607786806714476,0.3607786806715649,0,0.9999999999996749
Guatemala,GTM,0.5593774692014776,13.791379692804627,13.2320022236,0.04055993538437067
Guinea,GIN,76.89098919498134,259.9382795010568,183.0472903061,0.29580479390173364
Guyana,GUY,2273.9579959765765,2423.226487272637,149.2684912961,0.9384009327728736
Haiti,HTI,3.361057482907375,3.3610574829073454,-0,1.0000000000000089
Honduras,HND,2.489251505939949,10.09249705166335,7.6032455457,0.24664376845467534
Hungary,HUN,31.4962411731191,97.098940326897,65.6026991538,0.32437265604632404
Iceland,ISL,0.052257120612012174,0.0522571206120038,-0,1.0000000000001603
India,IND,1135.0491904614637,2771.396533491891,1636.3473430304,0.40955856613969627
Indian Ocean Territories,IOA,3.539783896021694,3.5397838959235792,-1e-10,1.0000000000277178
Indonesia,IDN,5863.342330775983,8401.9842037637,2538.6418729877,0.6978521011917014
Iran,IRN,157.80765496374022,451.14950943551435,293.3418544718,0.34979015085529347
Ireland,IRL,25.31594287795132,32.042685004386634,6.7267421264,0.7900693364019143
Israel,ISR,65.19469077354546,103.01482326367146,37.8201324901,0.6328670836688859
Italy,ITA,36.4176969176189,40.03374280629016,3.6160458887,0.9096750482169981
Ivory Coast,CIV,73.27018914822837,112.74952302808764,39.4793338799,0.6498492160359352
Jamaica,JAM,16.79428824819942,41.128322531965935,24.3340342838,0.4083387605985264
Japan,JPN,35.237869168418136,39.139300327306664,3.9014311589,0.9003193433131818
Jordan,JOR,260.9767597978975,668.2611645226452,407.2844047247,0.3905310882225505
Kazakhstan,KAZ,1140.6801297649522,2564.2864910669045,1423.606361302,0.44483334203829833
Kenya,KEN,20.799801982292152,27.323178916718728,6.5233769344,0.761251172335771
Kosovo,KOS,10.83585996946077,28.594149867462033,17.758289898,0.37895373772909946
Kyrgyzstan,KGZ,62.64889668903857,128.2068336794154,65.5579369904,0.4886548937453194
Laos,LAO,10.604294732073695,57.6974316156236,47.0931368835,0.18379145197863905
Lebanon,LBN,8.551639060894502,8.55163906088053,-0,1.0000000000016338
Lesotho,LSO,0.0626232963084694,13.342659662124717,13.2800363658,0.004693464263818082
Liberia,LBR,3.094816889644518,15.501655838204208,12.4068389486,0.19964427813042182
Luxembourg,LUX,1.4207513497877446,1.420751349788062,0,0.9999999999997766
Macedonia,MKD,50.989928056232976,67.09737614735147,16.1074480911,0.7599392254065914
Madagascar,MDG,33.61501807689723,47.81206735272882,14.1970492758,0.7030655635303478
Malawi,MWI,1.0893686820397837,5.2177902508946294,4.1284215689,0.20877969976907432
Malaysia,MYS,79.20614616150881,139.28019841119277,60.0740522497,0.5686820313658003
Mali,MLI,45.455061283842525,209.71351145005474,164.2584501662,0.21674836766379776
Mauritania,MRT,45.1693718830285,118.02777975000035,72.858407867,0.3827011910137059
Mexico,MEX,327.0807704568155,1006.9896939022934,679.9089234455,0.32481044487090016
Mongolia,MNG,547.027695685094,871.2360448301728,324.2083491451,0.6278754178400923
Montenegro,MNE,7.974960690048453,12.107005370580612,4.1320446805,0.658706298208737
Morocco,MAR,323.72566438641337,455.58952202755086,131.8638576411,0.7105643320015528
Mozambique,MOZ,46.99062450346669,130.96816782194227,83.9775433185,0.3587942420279772
Myanmar,MMR,2104.395460463706,2143.2353575681686,38.8398971045,0.9818779132364948
Namibia,NAM,263.75256189221113,498.91006793063326,235.1575060384,0.5286575253656384
Nauru,NRU,0.29126201059126017,0.29126201059126494,0,0.9999999999999836
Netherlands,NLD,1.0183418047665294,1.0183418047659965,-0,1.0000000000005234
New Caledonia,NCL,192.28815321450296,280.87164112585344,88.5834879114,0.6846122037943381
New Zealand,NZL,42.65800712876947,140.45397738397585,97.7959702552,0.3037151949933761
Nicaragua,NIC,5.015742419474541,19.94660685490706,14.9308644354,0.2514584287923948
Niger,NER,80.81475014199677,131.3363299837968,50.5215798418,0.6153266971291724
Nigeria,NGA,24.65139189998359,24.651391899966153,-0,1.0000000000007074
North Korea,PRK,24.73623072189995,49.6776887969932,24.9414580751,0.49793441121997484
Northern Cyprus,CYN,0.7767870284631533,2.4280841305184016,1.6512971021,0.3199176744741985
Norway,NOR,13.127033801331475,41.44961924726707,28.3225854459,0.3166985376396911
Oman,OMN,194.25349285626834,207.9057618098548,13.6522689536,0.9343343405457302
Pakistan,PAK,17.410703686480172,31.705977171794654,14.2952734853,0.5491300139447705
Panama,PAN,4.120264826583064,16.926149383721036,12.8058845571,0.2434259992143155
Papua New Guinea,PNG,63.33631959082059,118.66234162689234,55.3260220361,0.5337524839174986
Paraguay,PRY,3.516894391901348,3.5168943918948163,-0,1.0000000000018572
Peru,PER,2823.225208746085,3666.639072619935,843.4138638738,0.7699763060477063
Philippines,PHL,91.60503259575128,327.24827212498366,235.6432395292,0.27992518341171013
Poland,POL,239.55461345360223,511.86528020765064,272.310666754,0.46800324756627576
Portugal,PRT,33.91287906345089,42.93019087000477,9.0173118066,0.78995407139328
Puerto Rico,PRI,1.05096267268063,1.0509626726809669,0,0.9999999999996795
Republic of Congo,COG,10.96759435607804,10.967594356133214,1e-10,0.9999999999949694
Republic of Serbia,SRB,47.272205750747574,158.26666089542496,110.9944551447,0.2986870733437839
Romania,ROU,35.569882920558634,199.26512780478305,163.6952448842,0.1785053075388379
Russia,RUS,9512.02717370307,14587.045188895612,5075.0180151925,0.6520873179267382
Rwanda,RWA,0.3970826932746729,1.654783754277214,1.257701061,0.23996047353517377
Saudi Arabia,SAU,69.77817736259941,118.86834470766303,49.0901673451,0.5870206869138058
Senegal,SEN,43.58360514045456,72.38823729812418,28.8046321577,0.6020813155175966
Sierra Leone,SLE,51.69758434917555,122.18390144984312,70.4863171007,0.4231128956902524
Slovakia,SVK,17.54569955887859,19.911987460005502,2.3662879011,0.8811626460753978
Solomon Islands,SLB,0.8649401665278467,5.938499831945883,5.0735596654,0.1456496069722763
Somalia,SOM,0.0957315407789976,0.09573154077900832,0,0.9999999999998881
Somaliland,SOL,0.6084388641641311,0.6084388641640935,-0,1.0000000000000617
South Africa,ZAF,851.620673077297,4218.61764674734,3366.99697367,0.20187197427904327
South Korea,KOR,42.00157523112419,46.11148908451976,4.1099138534,0.9108700687183984
Spain,ESP,247.7496255544603,350.81755549754996,103.0679299431,0.7062064645057096
Sri Lanka,LKA,10.123040017814345,10.123040017814132,-0,1.000000000000021
Sudan,SDN,45.01668874566383,64.81416701554916,19.7974782699,0.6945501395530418
Suriname,SUR,1589.7202117967202,2123.292645872982,533.5724340763,0.7487051843214546
Swaziland,SWZ,0.3278016166233998,0.32780161662325286,-0,1.0000000000004483
Sweden,SWE,60.886944554018555,200.93787719842874,140.0509326444,0.30301377422183035
Switzerland,CHE,0.5480067530875833,0.5480067530870664,-0,1.0000000000009432
Syria,SYR,13.795692679685542,13.795692679684478,-0,1.000000000000077
Taiwan,TWN,0.2843133023458819,0.2843133023459208,0,0.9999999999998633
Tajikistan,TJK,22.313356578203056,38.78929572707691,16.4759391489,0.5752452103075228
Thailand,THA,39.73025331928305,175.48167030935218,135.7514169901,0.2264068563357278
Togo,TGO,5.433556599503134,5.433556599502968,-0,1.0000000000000304
Tunisia,TUN,80.11203167262691,88.86278038310382,8.7507487105,0.9015251529070909
Turkey,TUR,606.4913658970605,901.4407740125894,294.9494081155,0.6728022332486486
Turkmenistan,TKM,13.067010864241983,13.067010864246559,0,0.9999999999996498
Uganda,UGA,1.8697501531332466,2.889974244309388,1.0202240912,0.6469781371979173
Ukraine,UKR,748.8633782634632,1548.8862269822819,800.0228487188,0.4834850779985854
United Arab Emirates,ARE,1.589721127170257,5.657869058994423,4.0681479318,0.2809752418435783
United Kingdom,GBR,58.370213010150145,177.05500188186448,118.6847888717,0.3296727705501153
United Republic of Tanzania,TZA,57.92121254527766,150.5748309773934,92.6536184321,0.3846672924638626
United States of America,USA,3807.844621569479,11582.807532786224,7774.9629112167,0.3287497103608963
Uruguay,URY,4.250249800858621,13.82922830542881,9.5789785046,0.30733817585397305
Uzbekistan,UZB,290.812877070346,508.6605058487838,217.8476287784,0.5717229345043741
Venezuela,VEN,1295.7301642327539,1463.347422827713,167.617258595,0.8854562792265268
Vietnam,VNM,117.34896574788179,288.0332911688003,170.6843254209,0.4074145918053274
Zambia,ZMB,172.69038371548083,561.2671941056321,388.5768103902,0.3076794537950137
Zimbabwe,ZWE,115.08214881756153,336.6154552361441,221.5333064186,0.3418801692775174
